
9/1/08,SassyGirlCosmetics,5253,20817,$75643
9/3/08,SassyGirlCosmetics,6148,20817,$88531
9/4/08,PrissyPrincess,8931,20012,$128606
9/14/08,SassyGirlCosmetics,2031,20817,$29246
9/14/08,PrissyPrincess,8029,20012,$115618
9/15/08,GeneralAmericanWholesalers,3754,20012,$54058
9/20/08,SassyGirlCosmetics,7039,20817,$101362
9/21/08,PrissyPrincess,7478,20012,$107683
9/25/08,GeneralAmericanWholesalers,2646,20012,$38102
9/26/08,SassyGirlCosmetics,6361,20817,$91598
10/4/08,PrissyPrincess,9481,20012,$136526
10/7/08,GeneralAmericanWholesalers,8598,20012,$123811
10/9/08,SassyGirlCosmetics,6333,20817,$91195
10/12/08,GeneralAmericanWholesalers,4813,20012,$69307
10/15/08,PrissyPrincess,1550,20012,$22320
10/20/08,SassyGirlCosmetics,3230,20817,$46512
10/25/08,SassyGirlCosmetics,2064,20817,$29722
10/27/08,GeneralAmericanWholesalers,8298,20012,$119491
10/28/08,PrissyPrincess,8300,20012,$119520
11/3/08,GeneralAmericanWholesalers,6791,20012,$97790
11/4/08,PrissyPrincess,3775,20012,$54360
11/10/08,SassyGirlCosmetics,8320,20817,$119808
11/10/08,SassyGirlCosmetics,6160,20817,$88704
11/10/08,GeneralAmericanWholesalers,1894,20012,$27274
11/15/08,PrissyPrincess,1697,20012,$24437
11/24/08,PrissyPrincess,4825,20012,$69480
11/28/08,SassyGirlCosmetics,6188,20817,$89107
11/28/08,GeneralAmericanWholesalers,4157,20012,$59861
12/3/08,SassyGirlCosmetics,6841,20817,$98510
12/4/08,PrissyPrincess,7483,20012,$107755
12/6/08,GeneralAmericanWholesalers,1462,20012,$21053
12/11/08,GeneralAmericanWholesalers,8680,20012,$124992
12/14/08,SassyGirlCosmetics,3221,20817,$46382
12/14/08,PrissyPrincess,6257,20012,$90101
12/24/08,GeneralAmericanWholesalers,4504,20012,$64858
12/25/08,PrissyPrincess,6157,20012,$88661
12/28/08,SassyGirlCosmetics,5943,20817,$85579
1/7/09,SassyGirlCosmetics,4415,20817,$63576
1/10/09,PrissyPrincess,2726,20012,$39254
1/10/09,GeneralAmericanWholesalers,4937,20012,$71093
1/15/09,SassyGirlCosmetics,9602,20817,$138269
1/18/09,GeneralAmericanWholesalers,7025,20012,$101160
1/20/09,PrissyPrincess,4726,20012,$68054
